[2019-11-01 05:50:21] db_update.INFO: Cities were successfully updated, affected 3845 rows, deleted 0 rows [] []
[2019-11-01 05:50:27] db_update.INFO: Warehouses were successfully updated, affected 5793 rows, deleted 0 rows [] []
[2019-11-01 12:07:02] db_update.INFO: Areas were successfully updated, affected 25 rows, deleted 0 rows [] []
[2019-11-01 12:07:09] db_update.INFO: Cities were successfully updated, affected 3849 rows, deleted 0 rows [] []
[2019-11-01 12:07:16] db_update.INFO: Warehouses were successfully updated, affected 5810 rows, deleted 0 rows [] []
[2019-11-02 07:48:19] db_update.INFO: Areas were successfully updated, affected 25 rows, deleted 0 rows [] []
[2019-11-02 07:48:25] db_update.INFO: Cities were successfully updated, affected 3852 rows, deleted 0 rows [] []
[2019-11-02 07:48:30] db_update.INFO: Warehouses were successfully updated, affected 5828 rows, deleted 0 rows [] []
[2019-11-02 07:48:31] db_update.INFO: Areas were successfully updated, affected 25 rows, deleted 0 rows [] []
[2019-11-02 07:48:33] db_update.INFO: Cities were successfully updated, affected 3852 rows, deleted 0 rows [] []
[2019-11-02 07:48:41] db_update.INFO: Warehouses were successfully updated, affected 5828 rows, deleted 0 rows [] []
[2019-11-05 07:00:00] db_update.INFO: Areas were successfully updated, affected 25 rows, deleted 0 rows [] []
[2019-11-05 07:00:01] db_update.INFO: Cities were successfully updated, affected 3855 rows, deleted 0 rows [] []
[2019-11-05 07:00:09] db_update.INFO: Warehouses were successfully updated, affected 5855 rows, deleted 0 rows [] []
[2019-11-05 07:00:10] db_update.INFO: Areas were successfully updated, affected 25 rows, deleted 0 rows [] []
[2019-11-05 07:00:12] db_update.INFO: Cities were successfully updated, affected 3855 rows, deleted 0 rows [] []
[2019-11-05 07:00:20] db_update.INFO: Warehouses were successfully updated, affected 5855 rows, deleted 0 rows [] []
[2019-11-05 11:36:50] db_update.INFO: Areas were successfully updated, affected 25 rows, deleted 0 rows [] []
[2019-11-05 11:36:59] db_update.INFO: Cities were successfully updated, affected 3853 rows, deleted 0 rows [] []
[2019-11-05 11:37:05] db_update.INFO: Warehouses were successfully updated, affected 0 rows, deleted  rows [] []
[2019-11-05 11:37:06] db_update.INFO: Areas were successfully updated, affected 25 rows, deleted 0 rows [] []
[2019-11-05 11:37:08] db_update.INFO: Cities were successfully updated, affected 3853 rows, deleted 0 rows [] []
[2019-11-05 11:37:15] db_update.INFO: Warehouses were successfully updated, affected 5859 rows, deleted 0 rows [] []
[2019-11-06 12:34:44] db_update.INFO: Areas were successfully updated, affected 50 rows, deleted 0 rows [] []
[2019-11-06 12:34:50] db_update.INFO: Cities were successfully updated, affected 7704 rows, deleted 1 rows [] []
[2019-11-06 12:34:54] db_update.INFO: Areas were successfully updated, affected 50 rows, deleted 0 rows [] []
[2019-11-06 12:34:56] db_update.INFO: Cities were successfully updated, affected 7704 rows, deleted 0 rows [] []
[2019-11-06 12:34:57] db_update.INFO: Warehouses were successfully updated, affected 11748 rows, deleted 0 rows [] []
[2019-11-06 12:35:04] db_update.INFO: Warehouses were successfully updated, affected 11778 rows, deleted 0 rows [] []
[2019-11-07 12:54:31] db_update.INFO: Areas were successfully updated, affected 50 rows, deleted 0 rows [] []
[2019-11-07 12:54:34] db_update.INFO: Cities were successfully updated, affected 7704 rows, deleted 1 rows [] []
[2019-11-07 12:54:43] db_update.INFO: Warehouses were successfully updated, affected 11776 rows, deleted 4 rows [] []
[2019-11-08 09:56:33] db_update.INFO: Areas were successfully updated, affected 25 rows, deleted 0 rows [] []
[2019-11-08 09:56:35] db_update.INFO: Cities were successfully updated, affected 3853 rows, deleted 0 rows [] []
[2019-11-08 09:56:43] db_update.INFO: Warehouses were successfully updated, affected 0 rows, deleted  rows [] []
[2019-11-08 09:56:43] db_update.INFO: Areas were successfully updated, affected 25 rows, deleted 0 rows [] []
[2019-11-08 09:56:45] db_update.INFO: Cities were successfully updated, affected 3853 rows, deleted 0 rows [] []
[2019-11-08 09:56:53] db_update.INFO: Warehouses were successfully updated, affected 5893 rows, deleted 0 rows [] []
[2019-11-09 11:59:09] db_update.INFO: Areas were successfully updated, affected 50 rows, deleted 0 rows [] []
[2019-11-09 11:59:11] db_update.INFO: Cities were successfully updated, affected 7706 rows, deleted 0 rows [] []
[2019-11-09 11:59:18] db_update.INFO: Warehouses were successfully updated, affected 11788 rows, deleted 0 rows [] []
[2019-11-11 08:54:25] db_update.INFO: Areas were successfully updated, affected 50 rows, deleted 0 rows [] []
[2019-11-11 08:54:28] db_update.INFO: Cities were successfully updated, affected 7706 rows, deleted 0 rows [] []
[2019-11-11 08:54:35] db_update.INFO: Warehouses were successfully updated, affected 11790 rows, deleted 1 rows [] []
[2019-11-12 08:54:37] db_update.INFO: Areas were successfully updated, affected 50 rows, deleted 0 rows [] []
[2019-11-12 08:54:38] db_update.INFO: Cities were successfully updated, affected 7715 rows, deleted 1 rows [] []
[2019-11-12 08:54:43] db_update.INFO: Areas were successfully updated, affected 50 rows, deleted 0 rows [] []
[2019-11-12 08:54:43] db_update.INFO: Areas were successfully updated, affected 0 rows, deleted 0 rows [] []
[2019-11-12 08:54:45] db_update.INFO: Warehouses were successfully updated, affected 11796 rows, deleted 3 rows [] []
[2019-11-12 08:54:46] db_update.INFO: Cities were successfully updated, affected 7126 rows, deleted 0 rows [] []
[2019-11-12 08:54:48] db_update.INFO: Cities were successfully updated, affected 600 rows, deleted 0 rows [] []
[2019-11-12 08:54:53] db_update.INFO: Warehouses were successfully updated, affected 11806 rows, deleted 0 rows [] []
[2019-11-12 08:54:54] db_update.INFO: Warehouses were successfully updated, affected 0 rows, deleted 0 rows [] []
[2019-11-13 09:51:31] db_update.INFO: Areas were successfully updated, affected 50 rows, deleted 0 rows [] []
[2019-11-13 09:51:33] db_update.INFO: Cities were successfully updated, affected 7760 rows, deleted 2 rows [] []
[2019-11-13 09:51:39] db_update.INFO: Areas were successfully updated, affected 50 rows, deleted 0 rows [] []
[2019-11-13 09:51:42] db_update.INFO: Warehouses were successfully updated, affected 11828 rows, deleted 2 rows [] []
[2019-11-13 09:51:43] db_update.INFO: Cities were successfully updated, affected 7798 rows, deleted 0 rows [] []
[2019-11-13 09:51:58] db_update.INFO: Warehouses were successfully updated, affected 11854 rows, deleted 0 rows [] []
[2019-11-14 10:34:17] db_update.INFO: Areas were successfully updated, affected 50 rows, deleted 0 rows [] []
[2019-11-14 10:34:21] db_update.INFO: Cities were successfully updated, affected 7798 rows, deleted 0 rows [] []
[2019-11-14 10:34:35] db_update.INFO: Warehouses were successfully updated, affected 11871 rows, deleted 0 rows [] []
[2019-11-15 10:47:01] db_update.INFO: Areas were successfully updated, affected 50 rows, deleted 0 rows [] []
[2019-11-15 10:47:05] db_update.INFO: Cities were successfully updated, affected 7798 rows, deleted 1 rows [] []
[2019-11-15 10:47:14] db_update.INFO: Warehouses were successfully updated, affected 11893 rows, deleted 1 rows [] []
[2019-11-17 10:18:33] db_update.INFO: Areas were successfully updated, affected 50 rows, deleted 0 rows [] []
[2019-11-17 10:18:36] db_update.INFO: Cities were successfully updated, affected 7800 rows, deleted 0 rows [] []
[2019-11-17 10:18:44] db_update.INFO: Warehouses were successfully updated, affected 11906 rows, deleted 0 rows [] []
[2019-11-18 10:19:04] db_update.INFO: Areas were successfully updated, affected 50 rows, deleted 0 rows [] []
[2019-11-18 10:19:06] db_update.INFO: Cities were successfully updated, affected 7800 rows, deleted 0 rows [] []
[2019-11-18 10:19:10] db_update.INFO: Warehouses were successfully updated, affected 11912 rows, deleted 1 rows [] []
[2019-11-19 10:19:52] db_update.INFO: Areas were successfully updated, affected 50 rows, deleted 0 rows [] []
[2019-11-19 10:19:54] db_update.INFO: Cities were successfully updated, affected 7800 rows, deleted 1 rows [] []
[2019-11-19 10:19:59] db_update.INFO: Warehouses were successfully updated, affected 11914 rows, deleted 1 rows [] []
[2019-11-20 10:19:56] db_update.INFO: Areas were successfully updated, affected 50 rows, deleted 0 rows [] []
[2019-11-20 10:19:58] db_update.INFO: Cities were successfully updated, affected 7811 rows, deleted 1 rows [] []
[2019-11-20 10:20:02] db_update.INFO: Warehouses were successfully updated, affected 11917 rows, deleted 2 rows [] []
[2019-11-21 10:28:42] db_update.INFO: Areas were successfully updated, affected 50 rows, deleted 0 rows [] []
[2019-11-21 10:28:43] db_update.INFO: Cities were successfully updated, affected 7845 rows, deleted 0 rows [] []
[2019-11-21 10:28:44] db_update.INFO: Areas were successfully updated, affected 50 rows, deleted 0 rows [] []
[2019-11-21 10:28:49] db_update.INFO: Cities were successfully updated, affected 7868 rows, deleted 0 rows [] []
[2019-11-21 10:28:50] db_update.INFO: Warehouses were successfully updated, affected 11949 rows, deleted 0 rows [] []
[2019-11-21 10:28:58] db_update.INFO: Warehouses were successfully updated, affected 11976 rows, deleted 0 rows [] []
[2019-11-23 08:59:23] db_update.INFO: Areas were successfully updated, affected 25 rows, deleted 0 rows [] []
[2019-11-23 08:59:24] db_update.INFO: Cities were successfully updated, affected 3935 rows, deleted 0 rows [] []
[2019-11-23 08:59:29] db_update.INFO: Warehouses were successfully updated, affected 5997 rows, deleted 0 rows [] []
[2019-11-24 08:59:38] db_update.INFO: Areas were successfully updated, affected 50 rows, deleted 0 rows [] []
[2019-11-24 08:59:40] db_update.INFO: Cities were successfully updated, affected 7870 rows, deleted 0 rows [] []
[2019-11-24 08:59:44] db_update.INFO: Warehouses were successfully updated, affected 11995 rows, deleted 0 rows [] []
[2019-11-25 08:28:50] db_update.INFO: Areas were successfully updated, affected 25 rows, deleted 0 rows [] []
[2019-11-25 08:28:51] db_update.INFO: Cities were successfully updated, affected 3935 rows, deleted 0 rows [] []
[2019-11-25 08:28:56] db_update.INFO: Warehouses were successfully updated, affected 6002 rows, deleted 0 rows [] []
[2019-11-26 08:55:04] db_update.INFO: Areas were successfully updated, affected 50 rows, deleted 0 rows [] []
[2019-11-26 08:55:05] db_update.INFO: Cities were successfully updated, affected 7926 rows, deleted 0 rows [] []
[2019-11-26 08:55:10] db_update.INFO: Warehouses were successfully updated, affected 12034 rows, deleted 2 rows [] []
[2019-11-27 10:43:11] db_update.INFO: Areas were successfully updated, affected 50 rows, deleted 0 rows [] []
[2019-11-27 10:43:12] db_update.INFO: Cities were successfully updated, affected 7983 rows, deleted 0 rows [] []
[2019-11-27 10:43:14] db_update.INFO: Areas were successfully updated, affected 50 rows, deleted 0 rows [] []
[2019-11-27 10:43:16] db_update.INFO: Cities were successfully updated, affected 7984 rows, deleted 0 rows [] []
[2019-11-27 10:43:18] db_update.INFO: Warehouses were successfully updated, affected 12083 rows, deleted 0 rows [] []
[2019-11-27 10:43:21] db_update.INFO: Warehouses were successfully updated, affected 12098 rows, deleted 0 rows [] []
[2019-11-28 17:00:37] db_update.INFO: Areas were successfully updated, affected 50 rows, deleted 0 rows [] []
[2019-11-28 17:00:39] db_update.INFO: Cities were successfully updated, affected 8080 rows, deleted 0 rows [] []
[2019-11-28 17:00:43] db_update.INFO: Areas were successfully updated, affected 50 rows, deleted 0 rows [] []
[2019-11-28 17:00:45] db_update.INFO: Cities were successfully updated, affected 8176 rows, deleted 0 rows [] []
[2019-11-28 17:00:45] db_update.INFO: Warehouses were successfully updated, affected 12153 rows, deleted 0 rows [] []
[2019-11-28 17:00:51] db_update.INFO: Warehouses were successfully updated, affected 12208 rows, deleted 0 rows [] []
[2019-11-29 21:47:36] db_update.INFO: Areas were successfully updated, affected 50 rows, deleted 0 rows [] []
[2019-11-29 21:47:38] db_update.INFO: Cities were successfully updated, affected 8242 rows, deleted 0 rows [] []
[2019-11-29 21:47:42] db_update.INFO: Warehouses were successfully updated, affected 12213 rows, deleted 1 rows [] []
[2019-12-01 06:30:15] db_update.INFO: Areas were successfully updated, affected 50 rows, deleted 0 rows [] []
[2019-12-01 06:30:17] db_update.INFO: Cities were successfully updated, affected 8308 rows, deleted 0 rows [] []
[2019-12-01 06:30:21] db_update.INFO: Warehouses were successfully updated, affected 12220 rows, deleted 0 rows [] []
[2019-12-02 06:51:52] db_update.INFO: Areas were successfully updated, affected 50 rows, deleted 0 rows [] []
[2019-12-02 06:51:53] db_update.INFO: Cities were successfully updated, affected 8308 rows, deleted 0 rows [] []
[2019-12-02 06:51:53] db_update.INFO: Areas were successfully updated, affected 50 rows, deleted 0 rows [] []
[2019-12-02 06:51:55] db_update.INFO: Cities were successfully updated, affected 8308 rows, deleted 0 rows [] []
[2019-12-02 06:51:58] db_update.INFO: Warehouses were successfully updated, affected 12221 rows, deleted 0 rows [] []
[2019-12-02 06:51:59] db_update.INFO: Warehouses were successfully updated, affected 12222 rows, deleted 0 rows [] []
[2019-12-03 09:23:21] db_update.INFO: Areas were successfully updated, affected 50 rows, deleted 0 rows [] []
[2019-12-03 09:23:23] db_update.INFO: Cities were successfully updated, affected 8310 rows, deleted 0 rows [] []
[2019-12-03 09:23:31] db_update.INFO: Warehouses were successfully updated, affected 12319 rows, deleted 1 rows [] []
[2019-12-03 09:56:04] db_update.INFO: Areas were successfully updated, affected 25 rows, deleted 0 rows [] []
[2019-12-03 09:56:05] db_update.INFO: Cities were successfully updated, affected 4155 rows, deleted 0 rows [] []
[2019-12-03 09:56:11] db_update.INFO: Warehouses were successfully updated, affected 6209 rows, deleted 0 rows [] []
[2019-12-03 21:49:50] db_update.INFO: Areas were successfully updated, affected 25 rows, deleted 0 rows [] []
[2019-12-03 21:49:51] db_update.INFO: Cities were successfully updated, affected 4155 rows, deleted 0 rows [] []
[2019-12-03 21:49:57] db_update.INFO: Warehouses were successfully updated, affected 6163 rows, deleted 0 rows [] []
[2019-12-04 21:51:05] db_update.INFO: Areas were successfully updated, affected 50 rows, deleted 0 rows [] []
[2019-12-04 21:51:07] db_update.INFO: Cities were successfully updated, affected 8298 rows, deleted 6 rows [] []
[2019-12-04 21:51:11] db_update.INFO: Warehouses were successfully updated, affected 12358 rows, deleted 8 rows [] []
[2019-12-05 21:51:21] db_update.INFO: Areas were successfully updated, affected 50 rows, deleted 0 rows [] []
[2019-12-05 21:51:23] db_update.INFO: Cities were successfully updated, affected 8298 rows, deleted 0 rows [] []
[2019-12-05 21:51:28] db_update.INFO: Warehouses were successfully updated, affected 12408 rows, deleted 1 rows [] []
[2019-12-06 21:58:28] db_update.INFO: Areas were successfully updated, affected 50 rows, deleted 0 rows [] []
[2019-12-06 21:58:29] db_update.INFO: Areas were successfully updated, affected 50 rows, deleted 0 rows [] []
[2019-12-06 21:58:31] db_update.INFO: Cities were successfully updated, affected 8298 rows, deleted 0 rows [] []
[2019-12-06 21:58:32] db_update.INFO: Cities were successfully updated, affected 8298 rows, deleted 0 rows [] []
[2019-12-06 21:58:35] db_update.INFO: Warehouses were successfully updated, affected 12339 rows, deleted 1714 rows [] []
[2019-12-06 21:58:35] db_update.INFO: Warehouses were successfully updated, affected 12337 rows, deleted 0 rows [] []
[2019-12-09 06:34:03] db_update.INFO: Areas were successfully updated, affected 50 rows, deleted 0 rows [] []
